Date,Open,High,Low,Close
2019-09-19,26745.15,26757.65,26745.15,26757.65
2019-09-20,28965.9,28982.75,28965.9,28981.55
2019-09-23,30567.25,30567.25,30566.2,30566.2
2019-09-24,30154.6,30183.1,30154.6,30183.1
2019-09-25,29538.8,29586.05,29538.8,29586.05
2019-09-26,30028.75,30028.75,30002.6,30002.6
2019-09-27,29886.95,29886.95,29869,29876.65
2019-09-30,29121.65,29122.25,29103.15,29103.15
2019-10-01,28759.65,28768.2,28725.5,28725.5
2019-10-03,28424.75,28428.75,28414.1,28414.1
2019-10-04,27696.9,27731.85,27696.9,27731.85
2019-10-07,27731,27767.55,27731,27767.55
2019-10-09,28798.5,28798.5,28785.85,28785.85
2019-10-10,28052.85,28052.85,28013.15,28013.45
2019-10-11,28031.7,28043.35,28031.7,28042.5
2019-10-14,28161.65,28181.95,28159.8,28181.95
2019-10-15,28568.05,28568.05,28555.1,28555.1
2019-10-16,28545.05,28549.55,28538.8,28538.8
2019-10-17,28997.3,28997.45,28989.45,28989.45
2019-10-18,29100.45,29120.25,29100.2,29120.25
2019-10-22,29421.25,29421.25,29411.15,29411.15
2019-10-23,29508.1,29508.1,29459.6,29459.6
2019-10-24,29129.45,29129.45,29107.95,29107.95
2019-10-25,29409.5,29409.5,29395.95,29395.95
2019-10-27,29483.3,29517.4,29483.3,29516.3
2019-10-29,29855.6,29873.05,29855.6,29873.05
2019-10-30,29987.5,29987.5,29987.5,29987.5
2019-10-31,30049.8,30074.9,30049.8,30066.25
2019-11-01,30361.1,30361.1,30326.8,30330.55
2019-11-04,30338.95,30338.95,30329.6,30333.1
2019-11-05,30207.65,30221.6,30207.65,30219.85
2019-11-06,30587.3,30609.6,30587.3,30609.6
2019-11-07,30643.1,30643.1,30629.15,30633.15
2019-11-08,30757,30757.3,30749.4,30749.4
2019-11-11,31133.3,31133.3,31115.55,31115.55
2019-11-13,30554.25,30559.85,30541.55,30541.55
2019-11-14,30752.25,30752.25,30749.95,30749.95
2019-11-15,31014.95,31019.1,31008.4,31008.4
2019-11-18,31008.65,31008.65,30988.3,30992.1
2019-11-19,31283.75,31283.75,31236.25,31236.25
2019-11-20,31338,31353.85,31331.2,31353.85
2019-11-21,31341.95,31349.95,31341.95,31349.95
2019-11-22,31135.1,31144,31111.6,31111.6
2019-11-25,31573.75,31573.75,31555.9,31555.9
2019-11-26,31718.35,31718.35,31718.35,31718.35
2019-11-27,31885.3,31890.15,31875.95,31875.95
2019-11-28,32120.5,32122.95,32120.5,32122.95
2019-11-29,31943.7,31948,31943.7,31946.1
2019-12-02,31867.85,31871.45,31866.5,31871.45
2019-12-03,31622,31625.7,31613.35,31613.35
2019-12-04,31969.15,31979.3,31969.15,31979.3
2019-12-05,31688.15,31712.95,31688.15,31712.95
2019-12-06,31309.65,31341.55,31309.05,31341.55
2019-12-09,31330.5,31330.5,31316.65,31316.65
2019-12-10,31170,31170,31158.9,31160.35
2019-12-11,31276.25,31276.25,31250.95,31256.75
2019-12-12,31664.75,31665.45,31660.65,31665.45
2019-12-13,32030.55,32030.55,32014.25,32014.25
2019-12-16,31987.05,31987.05,31974.2,31974.2
2019-12-17,32156.35,32159.2,32140.25,32140.25
2019-12-18,32256.75,32256.75,32244.25,32244.25
2019-12-19,32252.6,32252.6,32240.9,32241.45
2019-12-20,32366.85,32384.95,32366.85,32384.95
2019-12-23,32335.75,32339.45,32335.75,32339.45
2019-12-24,32287.45,32287.45,32280.75,32280.75
2019-12-26,32017.9,32017.9,31997.7,31997.7
2019-12-27,32416,32416,32409.95,32412.35
2019-12-30,32391.55,32391.55,32354.9,32354.9
2019-12-31,32177.5,32177.5,32161.65,32161.65
2020-01-01,32132.7,32132.7,32102.9,32102.9
2020-01-02,32438.35,32444.35,32438.35,32443.85
2020-01-03,32079.8,32081.55,32069.25,32069.25
2020-01-06,31231.55,31237.15,31231.55,31237.15
2020-01-07,31399.4,31399.4,31399.4,31399.4
2020-01-08,31357.05,31373.65,31357.05,31373.65
2020-01-09,32070.95,32092.4,32070.95,32092.4
2020-01-10,32081.45,32097.4,32081.45,32097.4
2020-01-13,32200.8,32200.8,32175.4,32177.65
2020-01-14,32053.75,32071.95,32053.75,32071.65
2020-01-15,31818.85,31824.9,31818.85,31824.9
2020-01-16,31844.15,31853.9,31844.15,31853.9
2020-01-17,31553.95,31590.65,31553.95,31590.65
2020-01-20,31099,31100.25,31080.65,31080.65
2020-01-21,30951.45,30952.1,30947.55,30947.55
2020-01-22,30690.65,30701.45,30690.65,30701.45
2020-01-23,31005.85,31005.85,31004.05,31004.05
2020-01-24,31283.9,31283.9,31241.75,31241.75
2020-01-27,30826.05,30837.4,30826.05,30837.4
2020-01-28,30771.8,30780.3,30761.4,30761.4
2020-01-29,30882.8,30882.8,30876.05,30877
2020-01-30,30639.65,30647.4,30639.55,30647.4
2020-01-31,30821.4,30833.6,30821.4,30833.6
2020-02-01,29786.4,29820.9,29786.4,29820.9
2020-02-03,30049.4,30055.05,30023.25,30023.25
2020-02-04,30676.2,30686.7,30676.2,30686.7
2020-02-05,31013.85,31013.85,31001.95,31001.95
2020-02-06,31282.6,31304.05,31282.6,31304.05
2020-02-07,31153.7,31201.95,31153.7,31201.95
2020-02-10,31066.45,31066.45,31058.15,31058.15
2020-02-11,31287.75,31301.7,31287.75,31300.6
